AEGISLASH	AEGISLASH-SHIELD
BASCULEGION 	BASCULEGION-MALE
BASCULIN	BASCULIN-RED-STRIPED
BRUTEBONNET	BRUTE-BONNET
CHIENPAO	CHIEN-PAO
CHIYU	CHI-YU
DARMANITAN	DARMANITAN-STANDARD
DEOXYS	DEOXYS-ATTACK 
DUDUNSPARCE	DUDUNSPARCE-TWO-SEGMENT
EISCUE	EISCUE-ICE
ENAMORUS	ENAMORUS-INCARNATE
FLUTTERMANE	FLUTTER-MANE
GIRATINA	GIRATINA-ALTERED
GOUGINGFIRE	GOUGING-FIRE
GOURGEIST	GOURGEIST-AVERAGE
GREATTUSK	GREAT-TUSK
HAKAMOO	HAKAMO-O
HOOH	HO-OH
INDEEDEE	INDEEDEE-MALE
IRONBOULDER	IRON-BOULDER
IRONBUNDLE	IRON-BUNDLE
IRONCROWN	IRON-CROWN
IRONHANDS	IRON-HANDS
IRONJUGULIS	IRON-JUGULIS
IRONLEAVES	IRON-LEAVES
IRONMOTH	IRON-MOTH
IRONTHORNS	IRON-THORNS
IRONTREADS	IRON-TREADS
IRONVALIANT	IRON-VALIANT
JANGMOO	JANGMO-O
KELDEO	KELDEO-ORDINARY
KOMMOO	KOMMO-O
LANDORUS	LANDORUS-INCARNATE
LYCANROC	LYCANROC-MIDDAY
MAUSHOLD	MAUSHOLD-FAMILY-OF-THREE
MELOETTA	MELOETTA-ARIA
MEOWSTIC	MEOWSTIC-MALE
MIMEJR	MIME-JR
MIMIKYU	MIMIKYU-DISGUISED
MINIOR	MINIOR-RED
MORPEKO	MORPEKO-FULL-BELLY
MRMIME	MR-MIME
MRRIME	MR-RIME
NIDORANfE	NIDORAN-F
NIDORANmA	NIDORAN-M
OINKOLOGNE	OINKOLOGNE-MALE
ORICORIO	ORICORIO-BAILE
PALAFIN	PALAFIN-ZERO
PORYGONZ	PORYGON-Z
PUMPKABOO	PUMPKABOO-AVERAGE
RAGINGBOLT	RAGING-BOLT
ROARINGMOON	ROARING-MOON
SANDYSHOCKS	SANDY-SHOCKS
SCREAMTAIL	SCREAM-TAIL
SHAYMIN	SHAYMIN-LAND
SLITHERWING	SLITHER-WING
SQUAWKABILLY	SQUAWKABILLY-GREEN-PLUMAGE
TAPUBULU	TAPU-BULU
TAPUFINI	TAPU-FINI
TAPUKOKO	TAPU-KOKO
TAPULELE	TAPU-LELE
TATSUGIRI	TATSUGIRI-CURLY
THUNDURUS	THUNDURUS-INCARNATE
TINGLU	TING-LU
TORNADUS	TORNADUS-INCARNATE
TOXTRICITY	TOXTRICITY-AMPED
TYPENULL	TYPE-NULL
URSHIFU	URSHIFU-SINGLE-STRIKE
WALKINGWAKE	WALKING-WAKE
WISHIWASHI	WISHIWASHI-SOLO
WOCHIEN	WO-CHIEN
WORMADAM	WORMADAM-PLANT
ZYGARDE	ZYGARDE-50
